,src,allophant_src,ref,mBART_machine_label_pred
258,ábró t̪ɜ́wə̀nì,abrɔt̪əonɪ,Jump now.,Jump in now! (towards)
259,àbrá t̪ɜ́wə̀nì,aprat̪əɔne,Jump now (far away or towards).,They are beaten now (far)
260,t̪ʊ̀lí t̪ìðìɲàcì,tɔledoviɲaci,The lion scares me.,the tree will burn (far)
261,t̪ìðìɲîŋì t̪ʊ̀lí t̪ìðìɲîŋì,teðəɲɪŋid̪olɛtjɪŋe,"It scares me, the lion scares/scared me.",Then the hare (that hare) ate the meat (continuously) until he got fat
262,náŋîðɛ̀ŋɛ̀cí,naɲeiviɲaci,He scares me away from (denies me from)...,you all were shepherds last year
263,ǎn kə̀ɽìɲáɲàggɛ̀ náŋìðɛ̀ɲɛ̀cì ðíjà ɛ̀ðɛ́,aŋkɲaɲaɡenaŋivɲɛciviaide,"When we hunt/kill together, he denies me from eating meat.","It's not Kuku that I saw, it's someone else."
264,wɛ́ ànt̪á kájt̪ìŋì,weant̪akait̪iŋi,It's what makes me...,Where did the dog eat it?
265,ɔ́ɽɔ́ t̪ə̀màn,ɔldot̪əman,Run fast!,Fall at home! (far)
266,àpá súɽú t̪ə̀wə̀nì,apasʊlut̪əwani,Bring the beer here now (towards speaker),Pull them (away) now!
267,ápɔ́ súɽú t̪ə̀wə̀nì,apɔsɔvət̪avane,Bring the beer now (away from speaker),Bring me jujube fruit now!
268,làpɔ́ súɽù,lapɔsʊlo,They brought the beer,They will scratch the skin
269,làpɔ́ súɽú,lapɔssʊlu,They brought the beer,S/he pulled them here.
270,lápɔ́ súɽù,laposʊlʊd̪,They will bring the beer,they hit the wood
271,jɛ́wàjí ré ɛ́rɛ̀ɲì,iwaereeleɲi,I washed MY hands,my brothers are good
272,jɛ́vlɛ̀cɜ̀cí kúkùŋ lɛ̀ŋgɛ̀n,pivletaɟkokoleɡen,I visited Kuku's mother,"The pen, the Kuku will pull (away)"
273,jɛ́vlɛ̀cɜ̀cí kúkùŋú lɛ̀ŋgɛ̀n,jɛvlececikukomlɛŋɡən,I visited Kuku's mother,I stole a table from Kuku
274,jɛ́vlɛ̀cìt̪ɔ́ kúkùŋú lɛ́ŋ̀gɛ́n ígùn,ivleʃɪt̪okupʊmuliŋɡenɡun,I visited (his/her/Kuku's) mother for Kuku,I visited Kuku's mother for him
275,jɛ́vlɛ̀cɜ̀cí kúkùŋú lɛ́ŋgɛ́n ígùn,evleʃeʃɪkukumleɡeneɡon,I visited Kuku's mother,I visited Kuku's mother for him
276,áɾɔ́ íŋgárɛ́ kílì,aroiŋɡarekɪlɪ,"Say, ""I went to the market!""",I showed the snake to him
277,àɾá ɔ̀ɽcâ,aɾaolica,"Say, ""Jump""! (far away)",the tree will burn
278,wɛ́ nnɔ́ bácúm t̪ǎ,wenobakɪmt̪a,When the fox heard that,When the fox heard that
279,bú árt̪ɛ̀ t̪ɔ̀léŋ,boart̪et̪oleŋ,Go and tell the lion,Tell him to dance (here) now
280,bú árt̪ɛ̀ t̪ɔ̀lêŋ́,boart̪et̪olɪŋ,Go and tell the lion,Tell him to jump now (far)
281,jíŋàcàcí ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀,ŋaʃacorakekʊkʊmaŋeve,I brought Kuku's brother water (at some place),I brought Kuku's brother water
282,jíŋàcàcí ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀ nɛ̀ lɛ̀vɛ̌ɾ,iŋaʃetɪorakekʊkʊaŋavenelvɛr,I brought Kuku's brother water in the field,I introduced Kuku to him yesterday
283,jíŋàcìt̪ɔ́ ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀ kúkùŋù,iŋəɟit̪ooɾakekʊkomnavekʊkʊŋo,I brought Kuku water on behalf of Kuku's brother,I introduced Kuku to him yesterday
284,ɛ̀vàɾtɔ̀ kìcə̀lò,evart̪kecelo,The teacher is good,The worm is good.
285,âŋú ádám íjɛ̀ ɲì,amoad̪amjeɲe,did you see my book?,amo am about to eat meat
286,bɔ́lɔ́ t̪ɔ̀wə̀nì,bɔrot̪ɔne,wrestle now!,Blow now! (far)
287,bɔ̀lá t̪ɔ̀wə̀nì,olat̪onɪ,wrestle now (far away),They are going in now (towards)
288,bɔ́lɔ́ t̪ɔ́wə̀nì,bonot̪owani,wrestle now!,he is looking at my parent-in-law now
289,t̪ɔ́t̪ɔ́ súɽú,atasolo,Drink someone else's beer!,Return! (towards)
290,t̪ɔ́t̪ɔ́ súɽù,t̪ot̪osu,drink someone else's beer!,drink water (far)
291,t̪àt̪ɔ́ súɽú,patrɛsu,drink someone else's beer! (far),palm (of hand)
292,və́lɛ́cíðúr,lekeðrʊ,visit! (pl),Parts of: I broke the log
293,və̀lɛ̀cìðá,leʃiða,visit! (far),the bowl is good
294,lìɟí làɽíɲɛ̀,liŋɡilalɲ,Parts of: people extinguished candles yesterday (far),Parts of: These people are eating a lot
295,àpɾí jápíjɔ̀ kúkùŋ ɔ́ɾɛ́ nd̪ɔ̀bà,apriiapiɔkokooɾand̪ava,the boy will make Kuku carry the baby away tomorrow,the boy will bring Kuku to the house tomorrow
296,àpɾí jápìjí kúkùŋ ɔ́ɾɛ́ nd̪ɔ̀bà,apɾiapikukourd̪ova, the boy will make Kuku bring the baby tomorrow,the boy will help Kuku tomorrow
297,ùɾnɔ̀ kɛ̀ɽðɔ́ kúkùŋú àn ɔ́ɟɔ́ kíjà ŋɔ̀mɔ̀ nd̪ɔ̀bà,pʊrnakerðokukuŋoanoɟakejavnd̪aba,grandfather asked Kuku who will eat the food tomorrow,grandfather asked Kuku who will see the lion tomorrow
298,ùɾnɔ̀ kɛ̀ɽðɔ́ kúkùŋú t̪á àn ɔ́ɟɔ́ kíjà ŋɔ̀mɔ̀ nd̪ɔ̀bà,ornakɛrd̪ɛkɔkɔmɔt̪aənoɟet̪iaŋəəd̪aba,grandfather asked Kuku who will eat the food tomorrow,grandfather asked who will eat the food tomorrow
299,àɾò kìcə̀lò,arokɪcilo,The brother is good,your brothers are good
300,ùðɔ́ kìcə̀lò,uðamkitilo,The worm is good,The food is good.
301,pínɔ́ kɔ́ɾì,pinokorɪ,swim!,the palm tree is beautiful
302,árðɔ́ t̪ɔ̀wə̀nì,arad̪ət̪aone,shave (s.o.) / cut hair now!,Say something now! (far away)
303,árðɔ́ írɔ̀,sarðoɪɾo,cut someone's hair,sarcoidosis is common
304,ɔ́lá kicə̀lò,ɔlakecilo,animals are good,The stick is big.
305,àúr jìcə̀lò,aɔrjeʃilo,the door is good,The roofs are good.
306,ŋìà ŋìcə̀lò,nijaŋŋicilo,the beer is good,The meat is good.
307,kə̀rdɔ́ díjɔ̀,kɾðd̪ɪo,he has a cow,shake the bell! (far)
308,t̪ɔ́t̪ɔ́ álɛ̀,pot̪oale,throw the stone (away),chop the stone (far)
309,ámácíŋì ní,aciŋn,wait for me here!,rest
310,ǎn kúkù káŋíŋí,ankukokanni,It's Kuku that I saw.,It's him that Kuku saw
311,ǎn ùɟí kǎr káɟà,anʊɟiɡarkaɟa,Someone different,Who is afraid of the fox?
312,kǎr káɟà,kɛrkaɟa,Someone different,who did you see?
313,uɟi kàrɔ̀,ɡekaɾro,?,(Kuku) is good
314,ǎn íŋí kúkù,anɪŋikuko,I am Kuku.,It's only Kuku I saw
315,ǎn kúkú káì,ənkʊkʊkaj,That's Kuku.,Kuku was lost
316,ǎn kúkú kɛ̀,nkukʊke,This is Kuku.,Kuku was good
317,ǎn kúkú kɔ̀n,ɛnkukukɔn,That's Kuku (addressee and Kuku are together far from speaker).,Kuku will see him
318,kúkú kɔ̀n,kukukɔn,That's Kuku (addressee and Kuku are together far from speaker).,Kuku watches the dog habitually
319,ǎn ɔ́ɟɔ́ kɛ̂,anoɟoke,Who is this?,Who is this?
320,ǎn kúkù kâi dɛ̀,ənkukokede,That is not Kuku.,Kuku ate it (sheep)
321,lídí lîcə̀lò,ledeletel,The pot is good.,My folks are good
322,lídí lɛ̌ kiɲɔ́,ledilkeɲo,The boy cracked the pot.,their uncle is good
323,nɛ́ kàrɔ́ áprì,nekaroapri,?,shove the boy's hand
324,nɛ́ kìɲɔ́ áprì,nekɲoapre,?,When did the boy open the door?
325,ŋɔ̂ɽàt̪àt̪ɛ̀,moldat̪at̪e,(dog) runs away from (the boy in the field),Parts of: Kuku fell at home (and left)
326,ŋgá kɔ́t̪ìnò,vakwt̪inu,she will braid her own hair,Take the water from the calabash now
327,lákɔ́t̪à ɔ̀nì,nokot̪aoni,they will weave a basket,Kuku is about to eat vegetables now
328,àvɟɛ́gɛ́ ìcə̀lò,avɟeɡɛecil,the rug is good,To spread the mat is good
329,ìrí kɛ́ðùpì kɛ́r nɔ́kɛ̌n àn ðúɽùbǔ nɛ̀ lùpìɽíl váɽàn,iɾikaðopekarnokenðʊrboloplɛlvlan,‘The real name for the pen is ‘zuhubu’ (name of tree) and the stick also’,I brought with me the basket of rabbits
330,ìrí kɛ́ðùpí kɛ́r nɔ̀kɛ́n,irekeðopekɛɾnoken,The real name for the pen...,I put the pen inside the book
331,ìrí kɛ́ðùpì kɛ́r nɔ́kèn àn ðúɽùbǔ nɛ̀ lùpìɽíl váɽàn,irikeðopekɾnokenand̪ʊɾbuneloplelvlan,‘The real name for the pen is ‘zuhubu’ (name of tree) and the stick also’,What did the grandchildren say the ball will fall on?
332,ìrí kɛ́ðùpì kɛ́r nɔ́kèn,irekeðopekərnɔkeni,The real name for the pen...,I brought Kuku's brother
333,ìrí kɛ́ðùpì kɛ́r nɔ́kɛ̌n,irikeðopekarnoken,name of-pen is true,I put the stick inside the table yesterday
334,kɛ́r nɔ́kɛ̀n,ernaki,true name,the snake is small
335,jùpì jûnd̪òt̪ǔ jìcìlàt̪ó kán kálðíɾín ŋà,iopeiond̪ot̪oeʃlat̪okankðerenŋa,‘Dry pens are good with ????,I visited Kuku's mother when she arrived
336,jùpì jûnd̪òt̪ǔ jìcìlt̪àt̪ó kán kálðíɾín ŋà,iopɛiond̪t̪oekelt̪at̪okankalveɾ,‘Dry pens are good with ????,the boy wants to drink water instead of Kalu
337,jùpì jɛ́ŋáǒ jǎjɛ́ làgbúð làgàbúð nɛ̀ lɔ̀gtár,jopejŋaojjelaɡboðlaɡboðlt̪a,Ink pens can be used by ?? and ??,"When the boy heard that, he felt very sorry"
338,ðìɲó ðícìlò,eɲeðecelo,very well,This curse is good.
339,árlát̪ɔ́ cùcú,alat̪ət̪ɪco,walk fast! (away from),Tell him to steal cows (far)
340,árlát̪ɔ́ t̪ə̀màn,arlat̪ət̪əmban,walk fast!,Climb down quickly! (away)
341,àrlàt̪á t̪ə́màn,arlat̪at̪man,‘walk fast!’ (towards),Tell them to escape quickly (towards)
342,àrlàt̪á cúcù,lat̪aɟɪʃo,‘walk fast!’ (towards),who did you chase?
343,èdɛ̀ɽì kìcə̀lò,id̪elikɛcelɔ,herbs are good,my uncle is good
344,áŋɔ́ŋní kúkú,ɛlaŋnikukɔ,help Kuku,I introduced Kuku to him
345,pìnɔ́ kɔ́ɾì,pinokorɪ,swim (far),the palm tree is beautiful
346,lídí lə́ɽà lài,lid̪enalalaj,That big pot is good,Then you can repair the flaw
347,ŋídí ŋə́l ápɛ̀ ŋìɽìcàn ŋə̀ɽá ŋái ŋinɔ,nid̪iŋɪlapemult̪ɛrnoranairo,Those two big pots that I carried are heavy,Those two pots that I carried are heavy
348,lídí lɛ̀ kìɲɔ̀,led̪elɛkno,The pot broke,their uncle is good
349,ŋgá ɔ̀ɽcàcìðìjìt̪ɔ̀ ŋɔ̀ɾà kúkùŋù nd̪ɔ̀bà,jaɡolʃacɪvɪt̪omrakukood̪oɡo,she will make the children help Kuku tomorrow,I introduced Kuku to his mom
350,ɛ́cílò,ecilo,I'm fine,choose yourselves!
351,ɲàcìlò,nacilo,We're fine,The knives are good.
352,ɲàcìlò tásá,nakelotasa,We're all fine,The rock is good.
353,ɲácìló tásà,acelotasa,We're all fine,Parts of: the farmer is upset with the farmer.
354,ɲácìló tásǎ,nacilotasa,We're all fine,The guns are good.
355,ŋɔ̀rà ŋìcìlò,maranɪcilo,The kids are fine,The knives are good.
356,èmàɽðɛ́n kícìlǒ,emarðankecelo,My wife is good,your brother is good
357,wáló wə̀rkɛ̌v,waloɡəkɛv,How is your wife?,Parts of: Hyena will beat tomorrow
358,wáló kràráò,walokarao,How is your wife?,How is the fox?
359,kìcə̀lò,kəcilɔ,porcupine,Return! (towards)
360,wáló kə̀rkɛ̌v,waloɡapkɛf,How is your wife?,How did the boy pull it (sheep)?
361,ɔ̀pí ŋámɽàrě,ot̪ieŋamalare,Thank you very much,Tell them to eat food (far)
362,àpɾí jɛ̀rcɜ̀cí ðíjá ɛ́ðɛ̀,apɾeɪrkeʃiviaev,the boy tried to eat the meat,"the boy is good, he is good"
363,jâmìɲíl jíl íjà,jamnelielia,I like to eat it,I like to eat it
364,ɛ̀ðɛ̀ jámìɲíl kúkù jǎŋ íjà jàmì,ɛjamɲelkukojŋɛjajame,The meat that Kuku likes is tasty,I like Kuku
365,kúkù kìjɔ́ ɛ́ðɛ̀ jɛ́ŋgìð,kʊkokijoeðejeŋɡil,Kuku ate the meat raw,Kuku ate meat
366,ìjɔ́l kúkù jɛ́ŋgìð,ijɔlkokojeŋɡeð,Kuku ate it raw,I introduced Kuku to his mom
367,ábút̪ɔ́ t̪ɔ̀wə̀nì,abot̪t̪awani,Climb up now! (speaker on the ground),Dance at home now! (far)
368,àbùt̪á t̪ɔ̀wə̀nì,abot̪at̪əoni,Climb up now! (speaker in the tree),Stab now! (far)
369,pínɔ́ t̪ɔ̀wə̀nì,pinot̪oonɪ,Be beaten now!,he is about to come home now
370,pìnɔ́ t̪ɔ̀wə̀nì,pɪnot̪əwani,Be beaten now! (far),he is looking at his wife now
371,kə́lcí àvɟègɛ̀,kəlciavɟiɡe,Spread the mat!,Spread the mat!
372,kə̀lcá àvɟègɛ̀,kalcaafɟiɡe,Spread the mat! (far),Spread the mat at home now!
373,làkə́lcì àvɟègɛ̀,lakətiɛvɟiɡe,They spread the mat (and left),They will spread the mat
374,úɽcí t̪ɔ̀wə̀nì,orkit̪aoni,Jump now! (away),Look for a dress now (far away).
375,ùɽcá t̪ɔ̀wə̀nì,ʊrʃat̪əoni,Jump now! (far/towards),‘shut down now!’
376,rmàn rìcə̀lò,rɔmanreʃelo,The legs are good.,The skirts are good.
377,ŋúɽî ŋìcə̀lò,mɔlenəcilo,The axe is good.,The skins are good.
378,èdɛ̀ɽì kìcə̀lò,idɛlikɪʃlo,The herb is good.,this (drop of?) power is good
379,lídí lìcə̀lò,lidɪleʔelo,The pot is good.,my uncles are good
380,ŋídí nìcə̀lò,nidiŋiʃelo,The pots are good.,The mountains are good.
381,ʊ̀mí kìcə̀lò,umikecelo,The bell is good.,The palm is good.
382,nʊ̀mí nìcə̀lò,nominekelo,The bells are good.,The food is good.
383,gʊ̀bʊ̂l kìcə̀lò,ɡbolkecelo,The pumpkins are good.,The palm (of hand) is good.
384,àɽà kìcə̀lò,arakiclo,The goat's milk is good.,The curse is good.
385,àlkúrcì jìcə̀lò,alkʊrtɪjeʃl,The money is good.,His/her/their mother is good
386,ájà kìcə̀lò,aakikelo,The mother is good.,your brother is good
387,cʊ̀mú cìcə̀lò,cʊmoticlo,The scorpion is good.,The palm is good.
388,dìjɔ́ rìcə̀lò,d̪ɪreklo,The cow is good.,The skin is good.
389,ìrɔ́ jìcə̀lò,iroiklo,The hairs are good.,The skirts are good.
390,dún kìcə̀lò,d̪oŋkeʃilo,The home is good.,The night is good.
391,ɛ̀là kìcə̀lò,ɛlakicilo,The mushroom is good.,our (dual) brother is good
392,ɛ́ɾɛ́ kìcə̀lò,ɛrekiʃlo,The fence is good.,The leather is good.
393,ìlí jìcə̀lò,ilijecelo,The market is good.,The bowl is good
394,èmàð kìcə̀lò,emavkəcilo,The friend is good.,The stick is good.
395,ìndò ìcə̀lò,ɪnd̪eʃlo,The drum is good.,This egg is good.
396,íɾí kìcə̀lò,irikicelo,The trough is good.,The trough is good.
397,ìɾí kìcə̀lò,erikɛcelo,The name is good.,This leather is good.
398,ǹdrí nìcə̀lò,ɾrinekelo,The names are good.,The skirt is good.
399,ìjɔ̀ ìcə̀lò,ioeʃil,The shepherd is good.,The poison/pain is good.
400,kámàɽà kìcə̀lò,kamalakecelo,The friend (casual) is good.,Camel is good
401,kárò kìcə̀lò,karokecilo,The cart is good.,Close the door! (far away)
402,ŋàɽà ŋìcə̀lò,nalaniʃelo,The candles/gums are good,the cats are good
403,lán lìcə̀lò,lanleklo,The (drop of) milk is good.,The candle/gum is good.
404,ŋán ŋìcə̀lò,nanniʃelo,The milk is good.,the milk is good
405,lə́vcí kìcə̀lò,lɛvcekɛcalo,The cover is good.,my brother is good
406,lípíjó lìcə̀lò,lepioleklo,The mushroom sp. is good.,The teachers are good.
407,lə̀t̪ɾì lìcə̀lò,t̪rileʃelo,The skirt is good.,The Tira people are good.
408,lʊ̀tú lìcə̀lò,lʊtulekolo,The fist/small house (hut) is good.,The bird/spirit is good.
409,ɔ̀ɽàt̪à jə̀cə̀lò,ɔlat̪ajeʃlo,The light is good.,The tongue is good.
410,ɔ̀ɾì kìcə̀lò,ɔrikicilo,The water is good.,The troughs are good.
411,ɔ̌j kìcə̀lò,ɔjkəcilo,The bee/honey is good.,The cucumber is good.
412,lǎj lìcə̀lò,lɪlekelo,The bees/honeys are good.,The wood is good.
413,ʊ̀mì kìcə̀lò,omekəcilo,The fish is good.,My husbands are good
414,nʊ̀mì nìcə̀lò,nomeneklo,The fish are good.,The snakes are good.
415,ònì kìcə̀lò,onikiʃelo,The basket (made of palm leaves & sticks) is good.,The stones are good.
416,rɽò rìcə̀lò,rororeklo,The goat is good.,The rock is good.
417,èɽò jə̀cə̀lò,ɛloeclo,The goats are good.,The foods are good.
418,ìŋɔ̀ jìcə̀lò,iŋɛcelo,The snakes are good.,The meat is good.
419,tá lìcə̀lò,taleklo,The head is good.,The flower is good.
420,ŋtá ŋìcə̀lò,mtaniclo,The heads are good.,The spiderweb is good.
421,ùɽɔ́ kìcə̀lò,ʊlɔkicelo,The guinea fowl is good.,The birds are good.
422,ltɔ́ lìcə̀lò,tɔleʃono,The guinea fowls are good.,the dress is good
423,ùɽùwɔ̀ kìcə̀lò,ʊlwakecelo,The bird/spirit is good.,The mud is good.
424,ùlɔ́ kìcə̀lò,ʊnɔkecəno,The flour is good.,the door is good
425,ònì kicə̀lò,ɔnekəcilo,The basket is good.,The gourds are good.
426,wɛ́n kìcə̀lò,wɛnkeʃlo,his wife is good,The wives are good.
427,ɔ́lá kìcə̀lò,ɔlakeɡelo,The flour residues are good.,The palm is good.
428,ámál kìcə̀lò,amalkecelo,The boy is good.,The medicines are good.
429,lɛ̀mbré lìcə̀lò,ləmbrɛleklo,The bedsheet is good.,The feather is good.
430,ɔ̀mnɛ́ kìcə̀lò,omnekeʃelo,"This enemy is good.
",The sun is good
431,tòsò lìcə̀lò,tosoleʃlo,This palm tree is good.,The shirt is good.
432,àjén ìcə̀lò,aeneʃl,"This hill is good.
",His/her/its brothers are good
433,àjín ìcə̀lò,eɪniʃlo,"This Earth is good.
",offspring is good
434,ɜ́ɾú kìcə̀lò,ɛrukiʃno,"This water skin is good.
",The trough is good.
435,ŋɛ́ɲ ŋìcə̀lò,ɲɛɲnecilo,"The eggs are good.
",The goats are nice
436,nàì nìcə̀lò,najneʃelo,"This sweet potato is good.
",The meat is good.
437,ŋɛ́n nìcə̀lò,ɲɛnnəcelo,"This dog is good.
",The axes are good.
438,ɲɛ́n ɲìcə̀lò,ɲɛnɲecilo,"The dogs are good.
",The goats are nice
439,ŋ̀rím ŋìcə̀lò,ŋrɛmŋeʃelo,"This darkness is good.
",The goats are nice
440,órá kìcə̀lò,ɔrakcilo,"This child is good.
",The skirts are good.
441,ùɽɟɛ̀n kìcə̀lò,ɔrɟɛnkeʃlo,"This calabash is good.
",The gourd is good.
442,ùjɛ̀l kìcə̀lò,uijalkisulo,"This photo is good.
",the tree is good
443,jɔ̀ɽár jìcə̀lò,jolarijeʃno,The tigers are good.,The skins are good.
444,óɾó kìcə̀lò,ɔrokiclo,"The support poles for roof are good.
",The rock is good.
445,wɛ́ ɛ́lɔ́ kàrt̪íŋǐ,weɛlokart̪ɪni,Then God said to me,I am (in the middle of) cooking
446,kàɾó ŋ̀gɛ́lǎ ŋgíɲágɛ́ ɔ̀bðà nd̪ɔ̀bàgɛ́ kə̀rdɔ́ nə́rt̪á ŋáŋàl líŋcà,karoɡelaɡɪɲaɡeobðand̪obaɡəkarnart̪anaŋalɪŋtel,"he said you will go and meet him, he has some words to tell you",He is going to cut the rope right now
447,kálú èrt̪á èrt̪á,kaloeɾt̪ɾt̪a,in a place like this ,he said he saw it
448,kə̀rdɔ́ ŋə́rtá ŋáŋàl lìŋcáló ŋɔ́ɲà r̀pí,kərdanartananallɪŋkcalomoɲarpi,"he has words to tell you, a lot",he has some words to tell you
449,cíló t̪ɔ́wə̀nì,ʃelot̪awəne,be good now,You are about to eat the food
450,cìlá t̪ɔ́wə̀nì,kilat̪aoni,be good now(far away),he is looking at you now
451,lìcə̀ló,likelo,they are good,The fist is good.
452,cùbó cìcə̀lò,cɔboɟeclo,The nut is good,Climbing up is good
453,ŋàtá ɲùcò,nataʊcɔ,taste the soup! (far),Scratch the skin!
454,láŋát̪ìðìt̪ɔ̀ kukuŋu ŋucɔ,selaŋat̪əðɪd̪akʊkʊnʊmʊco,they will taste Kuku's soup,I cooked soup for Kuku (far away)
455,kĺcí ɛɾaðɛ,kəlceraðe,spread the cloth!,You all pulled him here yesterday
456,ŋgákĺcàtà ɛɾaðɛ ɛɽɛ,vakrkat̪eraðɾe,(Kuku) will spread the cloth inside,Kuku and Kaka saw each other in the field
457,kúkú ŋgákĺcàtà ɛɾaðɛ ɛɽɛ,fəŋkʊkwaklʃɛt̪airaðɛle,Kuku will spread the cloth inside,I visited Kuku's father yesterday
458,ŋgákl̀càt̪ɔ́,javakcat̪o,(Kuku) will spread,I will see the shirt.
459,àpɾí jáðídìjà ðúɽí kàɾí,aprivdivɪlikari,the boy is sitting in the tree (in the branches),the boy is playing with the stick
460,bə̀ɽɔ́ t̪ɔ́wə̀nì,bʊɾɔt̪aone,‘Hit something now (far)!’,Blow now! (far)
461,t̪ɔ́ɽɔ́ t̪ɔ́wə̀nì,t̪ɔlot̪ooni,‘Write something now!’,‘Form/create something now!’
462,t̪ɔ̀ɽá t̪ɔ́wə̀nì,t̪ɔɾat̪əoni,‘Write something now! (far)’,Tell him to urinate now (far)
463,t̪ɔ́t̪ɔ́ t̪ɔ́wə̀nì,t̪ot̪ot̪ooni,‘Throw something now!’,Tell him to be lost now (here)
464,t̪ɔ̀t̪á t̪ɔ́wə̀nì,t̪ot̪at̪əoni,‘Throw something now!’ ( could be both “towards” or far),be lost now (far)
465,vɜ̀ɾá t̪ɔ́wə̀nì,vaɾat̪ooni,‘Run towards now!’,Escape home now
466,ðɜ̀ríbì ðìcə̀lò,ðaribiðɛʃɪlo,the animal pen is good,The nut is good
467,ðàríbì ðìcə̀lò,ðɛribiviʔɪlo,the animal pen is good,To eat meat is good
468,jàríbì jìcə̀lò,iarebɪiɛʃeno,animal pens are good,my sibling is good
469,ɛ̀làɽà kə̀ɽà,ɛlalakla,farmer is big,The monkeys are tall
470,kʊ́blɔ́ŋnɔ̀,kɔblanɔ,hide,Fall! (towards)
471,nɛ̀ ŋìðìɲí út̪ìðí,nŋðneutid̪i,Then the hare called,The hare is hiding
472,àvɟìgɛ̀,avɟiɡe,mat,you are about to break the log
473,àt̪á kɛ̀lcí ávɟìgɛ́ dɛ̀,ataknʃiavɟiɡɛd,Don’t spread the mats! (towards),Take the water from the calabash
474,àt̪á kɛ́lcà àvɟìgɛ́ dɛ̀,atakɪʃavɟiɡɛd̪i,Don’t spread the mats! (away),Take the water from the ground now
475,án kìpí ŋìnéðàt̪ɛ̀ ásǎ,aŋkpɪŋɡnelat̪asa,until he is satisfied,I am seeing a leopard now
476,t̪òlé t̪ìjɔ́ ɛ́ðɛ̀ jít̪ɛ̀jìnɔ̀ ásà,d̪ulet̪ijoeðeit̪enasa,The lion ate the remaining meat,The lion was eating the meat at home
477,mút̪ɔ́ ŋúcɔ́,mut̪amʊco,sip soup,taste the soup
478,ɾácí ŋávɛ̀,pacinave,pour water,he is about to cut the rope
479,ɾàcá ŋávɛ̀,araʃanave,pour water (far away),you are about to shake the mud
480,kárcí lə́bʊ̀,karʃelobis,look for a ball,put the ball on the table (far away)
481,wɛ́ nâdrí áprí álkùrcɛ́ ŋílɛ̀t̪ɛ̀ èdìrá lúɔ̀,nad̪raprərbʊrkenɪlet̪ed̪elalʊ,"When the boy got the money, he bought a dress for the girl (here).",When did the grandchildren say that the lion bit?
482,wɛ́ án àprí jə̀drí àlkùrcɛ́ ná ŋílɛ̀t̪ɛ̀ èdìrá lúɔ̀,ʊeanapɾiad̪rirvuʃenaŋilet̪ed̪eralʊo,"Whenever the boy got the money, he bought a dress for the girl (here)",How did the grandchildren say that the dog bit?
483,án àprí jə̀drí àlkùrcɛ́ jǎrà jìlɔ̀t̪ɔ́ édìrá lúɔ̀,anaprɪad̪rialɡʊrkeiaraɪlot̪oed̪eralʊo,"If the boy got the money, he bought a dress for the girl.",What did the grandchildren say the dog bit?
484,án àprí jə̀drí àlkùrcɛ́ jǎrà jìlɔ̀t̪ɔ́ járà jàílɛ̀t̪ɛ̀ èdìrá lúɔ̀,anapread̪rerɡʊrkeiaraɪt̪ojarelet̪d̪eralʊo,"If the boy got the money, he bought a dress for the girl(happened here or he left)",Which song did grandfather like of the boy's?
485,án àprí jə̀drí àlkùrcɛ́ járà jàílɛ̀t̪ɛ̀ èdìrá lúɔ̀,anapɾiðɾlɡʊkeiarajelet̪eðeɾalʊo,"If the boy got the money, he bought a dress for the girl(happened here or he left)",Which song did grandfather like of the boy's?
486,ìlɔ́ àprí jàdrí àlkùrcɛ́ járà jìlɔ̀t̪ɔ́ èdìrá lúɔ̀,eloapɾɪaðɾealkuɾteiarailat̪oeðralʊo,"If the boy had gotten the money, he would have a bought a dress for the girl.",Which song did the grandfather laugh at when the boy sang?
487,ìlɔ́ àprí jàdrí àlkùrcɛ́ járà jàílɛ̀t̪ɛ̀ èdìrá lúɔ̀,iloapriad̪rialkʊrteiarajelet̪ed̪eralʊo,"If the boy had gotten the money, he would have a bought a dress for the girl (here, or he left)",What did the grandchildren say the lion bit?
488,mə̀nà càt̪á án âjt̪ɔ́ ŋìðə̀nɔ́ŋ ŋírɔ́t̪ɛ̌ íŋgáŋàɽìɲà,mnacat̪aanet̪aŋnamrat̪iŋɡŋali,"From today, if you leave (lit. let) the hare (this particular hare) to starve (lit. be hungry), I will kill you.",He is watching my dog now
489,mnà càt̪á án ájít̪ɔ́ ŋìðìnɔ́ŋ ŋ̀rɔ́t̪ɛ̌ íŋgàŋâɽìɲà,naʃat̪aanɛt̪oŋnoɡrot̪eɡaŋalia,"From today, if you leave (lit. let) the hare (this particular hare) to starve (lit. be hungry), I will kill you.",he went to see his donkeys
490,ìrcɛ̀cɔ́ ðə̀t̪ɾɛ̀,jrʃeʃɔðet̪re,Learn/teach Tira! (far),I shaved myself (and left)
491,láírcɛ̀cɔ̀ ðt̪ɾɛ́ t̪ə́màn,lɛrkecit̪rɛt̪əman,They will learn/teach Tira soon,tell them to climb down quickly (away)
492,láírcɛ̀cɔ̀ ðə̀t̪ɾɛ́ t̪ə́màn,lʔeʃoðət̪ɾɛtəmən,They will learn/teach Tira soon,They went to throw the root away quickly
493,láìrcɛ̀cí ðə́t̪ɾɔ́ t̪ə́màn,laceʃit̪rat̪əman,They will learn/teach Tira soon (far),They will give the spider food quickly.
