transcription,rewritten_transcript,translation,decoded_phonemes,split
ùɟí kávə́lɛ̂ðà ðàŋàlà,ùɟí ká və́lɛ̀ðà ðàŋàlà,n/a,ʊ ɟ i k a b l ɛ d̪ a d̪ a m a ɾ a,train
ùɟí kávə́lɛ̂ðà ðàŋàlà,ùɟí ká və́lɛ̀ðà ðàŋàlà,n/a,o ɟ i k a b l e ð a ð a a l a,train
àpɾí jâvlɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,The boy will pull the sheep here.,a p r i i a v l e ð o d̪ ŋ a l a,train
àpɾí jâvlɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ i i a v l e ð o ð a l a,train
àpɾí jâvlɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p r i i a v l ə ð o ð ɾ a,train
ùɟí kâvlɛ̀ðɔ́ ðáŋàlà,ùɟí ká və̀lɛ̀ðɔ́ ðáŋàlà,The person will pull the sheep here.,ʊ ɟ i k a b l e ð o ð b a,train
ùɟí kâvlɛ̀ðɔ́ ðáŋàlà,ùɟí ká və̀lɛ̀ðɔ́ ðáŋàlà,n/a,ʊ ɟ i k a v l e ð o ð a a l a,train
kàvə́lɛ̂ðɛ̀ ðàŋàlà,kà və́lɛ̀ðɛ̀ ðàŋàlà,He pulled the sheep away,k a b l e ð e ð a a l a,train
jàvə́lɛ̂ðɛ̀ ðàŋàlà,jà və́lɛ̀ðɛ̀ ðàŋàlà,He (boy) pulled the sheep away,i a b l ɛ ð ə ð a l a,train
jàvə́lɛ̂ðɛ̀ ðàŋàlà,jà və́lɛ̀ðɛ̀ ðàŋàlà,n/a,j a b l ɛ ð ə ð ə m a l a,train
jàvə́lɛ̂ðɛ̀ ðàŋàlà,jà və́lɛ̀ðɛ̀ ðàŋàlà,n/a,i a v l ɛ ð ə ð a ŋ a l a,train
jə̀vlɛ̀ðɔ́ ðáŋàlà,jə̀və̀lɛ̀ðɔ́ ðáŋàlà,He (boy) pulled the sheep here,a i e b l e ð o ð a a l a,train
jə̀vlɛ̀ðɔ́ ðáŋàlà,jə̀və̀lɛ̀ðɔ́ ðáŋàlà,n/a,i ə v l ɛ ð a d̪ ə a ɾ a,train
jə̀və̀lɛ̀ðɔ́ ðáŋàlà,jə̀və̀lɛ̀ðɔ́ ðáŋàlà,He (boy) pulled the sheep here,i v l e ð o t̪ a a l a,train
kə̀və̀lɛ̀ðɔ́ ðáŋàlà,kə̀və̀lɛ̀ðɔ́ ðáŋàlà,S/he pulled the sheep here,k v l e ð o ð a m a ɾ a,train
kə̀və̀lɛ̀ðɔ́ ðáŋàlà,kə̀və̀lɛ̀ðɔ́ ðáŋàlà,n/a,k b l ɛ ð ɔ ð ə ŋ a ɾ a,train
ðà ápɾ í və́lɛ̂ðɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀,The boy pulled it (sheep) away,v a a p ɾ e v l e ð e,train
ðà ápɾ í və́lɛ̂ðɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀,n/a,ð a a p r ə v l e ð e,train
ðà ápɾí və́lɛ̂ðɛ̀,ðà ápɾí və́lɛ̀ðɛ̀,The boy pulled it (sheep) away,v a a p ɾ ɛ b l ɛ ð ə,train
ðà ápɾí və́lɛ̂ðɛ̀,ðà ápɾí və́lɛ̀ðɛ̀,n/a,ð a a p r e v l e ð e,train
ðà ápɾ í və́lɛ̂ðɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀,n/a,l a a p r e b l e ð e,train
ðà ápɾ í və́lɛ̂ðɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀,n/a,v a p r e v l e ð e,train
ðà ápɾ í və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,The boy pulled it (sheep) away yesterday,l a p ɾ e b l e ð e o n a ɾ e,train
ðà ápɾ í və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà ápɾí í və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a p r e v l e ð e o n a r e,train
ðə̀vlɛ̀ðɔ́ ápɾì ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ ápɾí ùnɛ́ɾɛ́,The boy pulled it (sheep) here yesterday,ð b l e ð o a p ɾ ɪ ʊ n a r e,train
ðə̀vlɛ̀ðɔ́ áp ɾí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ áp úɾí ùnɛ́ɾɛ́,The boy pulled it (sheep) here yesterday,v e v l e ð o a p r ɪ ʊ n a r e,train
ðə̀vlɛ̀ðɔ́ áp ɾí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ áp úɾí ùnɛ́ɾɛ́,n/a,v b l e ð o a p ɾ i ɔ n a ɾ e,train
ðə̀vlɛ̀ðɔ́ áp ɾí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ áp úɾí ùnɛ́ɾɛ́,n/a,r e b l e ð o a p ɾ i u n e ɾ e,train
ðá ápɾ í və́lɛ̂ðà,ðá ápɾí í və́lɛ̀ðà,The boy will pull it (sheep) away.,ð a p ɾ i b l ɛ ð a,train
ðá ápɾ í və́lɛ̂ðà,ðá ápɾí í və́lɛ̀ðà,n/a,r a a p r i v l e ð a,train
ðǎpɾ í və́lɛ̂ðà ndòbà,ðàpɔ́ í və́lɛ̀ðà nd̪ɔ̀bà,n/a,v a p ɾ ə v l e d̪ a d̪ o v a,train
ðà ápɾ í və́lɛ̂ðɔ́ ndòbà,ðà ápɾí í və́lɛ̀ðɔ́ nd̪ɔ̀bà,The boy will pull it (sheep) here tomorrow,r a p ɾ e b l e ð o d̪ o v a,train
ðá ápɾ í və́lɛ̂ðɔ́ ndòbà,ðá ápɾí í və́lɛ̀ðɔ́ nd̪ɔ̀bà,The boy will pull it (sheep) here tomorrow,l a a p r e v l e ð ɔ d̪ a v a,train
ðá ápɾ í və́lɛ̂ðɔ́ ndòbà,ðá ápɾí í və́lɛ̀ðɔ́ nd̪ɔ̀bà,n/a,ð a p ɾ e v l e ð o d̪ o v a,train
ðà úɟí və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà úɟí və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,The person pulled it (sheep) away yesterday,d̪ a w ɟ i b l ɛ d̪ a ʊ n a ɾ ə,train
ðà úɟí və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà úɟí və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,d̪ a ʊ ɟ ɪ v l ɛ ð ə ʊ n a ɾ ə,train
ðà úɟí və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà úɟí və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,The person pulled it (sheep) away yesterday,l a ʊ ɟ ɪ v l ɛ ð a o a r ə,train
ðà úɟí və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà úɟí və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a u ɟ ɪ v l ɛ ð ɛ ʊ n a ɾ ə,train
ðà úɟí və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà úɟí və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a u ɟ i v l i ð ɛ n ɛ r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i ð a ʊ l e ð ʊ n e r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,v a ŋ v l e ð e ʊ n e r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a ŋ v l e v e ʊ n e r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,v a m b l e ð e o n e r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a ŋ v l e ð e ʊ n e r e,train
ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðàŋâ və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,v a ŋ v l e ð e o n e r,train
ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ́,He pulled it (sheep) here yesterday,ð e v l e ð o ʊ n e r e,train
ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ́,n/a,ð e v l e ð o n o n r e,train
ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ́,n/a,ð e v l ɛ ð o ʊ n e r e,train
ðàvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a v l e ɡ a n a ɾ e,train
ðàvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,ð a b l e ð ɛ ʊ n e ɾ,train
ðə̀və̀lɛ̀ðáŋá únɛ̀ɾɛ̂,ðə̀və̀lɛ̀ðáŋá únɛ́ɾɛ́,You pulled it (sheep) here yesterday,d̪ v l e ð a ŋ a o n e r e,train
ðə̀və̀lɛ̀ðáŋá únɛ̀ɾɛ̂,ðə̀və̀lɛ̀ðáŋá únɛ́ɾɛ́,n/a,v e v l e ð a ŋ a u n e r,train
ðə̀və̀lɛ̀ðáŋá únɛ̀ɾɛ̂,ðə̀və̀lɛ̀ðáŋá únɛ́ɾɛ́,n/a,v v l e ð a n a o n r e,train
ðɛ̀və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðɛ̀ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,I pulled it (sheep) away yesterday,ð e v l e ð e o n a ɾ e,train
ðɛ̀və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðɛ̀ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,d̪ ə b l ɛ ð a ɔ n a ɾ a,train
ðɛ̀və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðɛ̀ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,v e v l e ð e o n a ɾ ə,train
ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ́,I pulled it (sheep) here yesterday.,v v l e v e ŋ i o n a r e,train
ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ́,n/a,ð v l e v e ŋ i ʊ n a r e,train
ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ́,n/a,ð v l e ð ɛ ɲ ʊ n a r e,train
ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɛ́ŋí ùnɛ́ɾɛ́,n/a,ð ə v l e ð e m e o n a r e,train
ðâvlɛ̀ðɔ́ ndòbàgɛ̀,ðá və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,You will pull it (sheep) here tomorrow,v a b l ə ð o d̪ o v a ɡ e,train
ðâvlɛ̀ðɔ́ ndòbàgɛ̀,ðá və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,n/a,v a v l e ð o d̪ o b a ɡ e,train
ðâvlɛ̀ðɔ́ ndòbàgɛ̀,ðá və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,n/a,ð a v l e ð o d̪ o v a ɡ e,train
ðâvlɛ̀ðɔ́ ndòbàgɛ̀,ðá və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,n/a,v a v l e ð o n d̪ o v a ɡ e,train
ðǎvə́lɛ̂ðà ndòbàgɛ̀,ðá və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,You will pull it (sheep) away tomorrow,d̪ a v l e ð a d̪ o v a ɡ ə,train
ðǎvə́lɛ̂ðà ndòbàgɛ̀,ðá və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,n/a,ð a v l e ð a d̪ o v a,train
ðǎvə́lɛ̂ðà ndòbàgɛ̀,ðá və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,n/a,ð a v l e ð a n d̪ o v o,train
ðǎvə́lɛ̂ðà ndòbàgɛ̀,ðá və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,n/a,l a v l e ð n d̪ o b a,train
ðɛ̂vlɛ̀ðɔ́ ndòbàgɛ̀,ðɛ́ və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,I will pull it (sheep) here tomorrow,a ð ə b l e ð o ð o b a ɡ,train
ðɛ̂vlɛ̀ðɔ́ ndòbà,ðɛ́ və̀lɛ̀ðɔ́ nd̪ɔ̀bà,n/a,ð e b l e ð n d̪ a b a,train
ðɛ̌və́lɛ̂ðà ndòbà,ðɛ́ və́lɛ̀ðà nd̪ɔ̀bà,I will pull it (sheep) away tomorrow,v e v l e ð a d̪ o l o,train
ðɛ̌və́lɛ̂ðà ndòbà,ðɛ́ və́lɛ̀ðà nd̪ɔ̀bà,n/a,ð e v l ɛ ð a n d̪ a v a,train
ðɛ̌və́lɛ̂ðà ndòbà,ðɛ́ və́lɛ̀ðà nd̪ɔ̀bà,n/a,r i v l e ð a d̪ a b a,train
ùnɛ́ɾɛ́ ðàvə́lɛ̂ðɛ̀,ùnɛ́ɾɛ́ ðà və́lɛ̀ðɛ̀,"Yesterday, you pulled it (sheep) away",ʊ n e ɾ e ð a v l e e,train
àn ɔ́ɟɔ́ ká və́lɛ̂ðɛ̀,àn ɔ́ɾɔ́ ká və́lɛ̀ðɛ̀,Who pulled it?,a n o ɟ o k a v l e ð e w,train
àńŋá ká və́lɛ̂ðɛ̀,áŋá ká və́lɛ̀ðɛ̀,It's you who pulled it away.,a n ŋ a k a b l e ð,train
àńŋá ká və́lɛ̂ðɛ̀,áŋá ká və́lɛ̀ðɛ̀,n/a,a n a k a b l e ð e,train
ànə́ŋá kîðɔ̌,náŋà kìðɔ́,It's you who did it.,n k i l o,train
ànə́ŋá kîðɔ̀,náŋà kíðɔ̀,It's you who did it.,a ŋ a k e ð o,train
ànə́ŋá kîðɔ̀,náŋà kíðɔ̀,n/a,a ŋ ŋ a k i ð o,train
ànə́ŋá kîðɔ̀,náŋà kíðɔ̀,n/a,a ŋ a k e ð ɔ,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟì,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí,The sheep pulled the person away,d̪ a m a l ð a v l e ð e ʊ ɟ i,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟì,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí,n/a,v v a v l e ð e u ɟ i,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ àpɾíɲâ,ðàŋàl ðà və́lɛ̀ðɛ̀ àpɾíɲá,n/a,d̪ l a v l ɛ ð e a p ɾ ɛ ɲ a,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ àpɾíɲâ,ðàŋàl ðà və́lɛ̀ðɛ̀ àpɾíɲá,n/a,ð a ŋ l ð a b l e ð e a p ɾ e ɲ a,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ àpɾíɲâ,ðàŋàl ðà və́lɛ̀ðɛ̀ àpɾíɲá,n/a,r a ŋ l ð a v l e ð e a p ɾ e ɲ a,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ àpɾíɲá ún ɛ́ɾɛ̀,ðàŋàl ðà və́lɛ̀ðɛ̀ àpɾíɲá òn ɛ́ɾɛ́,The sheep pulled the boy away yesterday.,d̪ a a l ð a v l e ð e a p ɾ ɛ i ɔ n e ɾ,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟí ún ɛ́ɾɛ̀,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí òn ɛ́ɾɛ́,The sheep pulled the person away yesterday.,v l ð a v l e ð e u ɟ ɪ ʊ n r,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟí ún ɛ́ɾɛ̀,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí òn ɛ́ɾɛ́,n/a,l a ŋ a l r a v l e ð u ɟ i ʊ n r,train
ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟí ún ɛ́ɾɛ̀,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí òn ɛ́ɾɛ́,n/a,d̪ a ŋ a l ð a b l ə ð ə ʊ ɡ ɪ ʊ n a ɾ ɛ,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɾíɲá ún ɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɽíɲá òn ɛ́ɾɛ́,The sheep pulled the boy here yesterday,d̪ a l d̪ v l e ð o a p ɾ e ɲ a ʊ n e ɾ e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɾíɲá ún ɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɽíɲá òn ɛ́ɾɛ́,n/a,ð a ð v l e ð ɔ a p ɾ i ɲ a n a r e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɾíɲá ún ɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɽíɲá òn ɛ́ɾɛ́,n/a,ð a ŋ l ð v l e ð ɔ a p r e ɲ a o n e r e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɾíɲá ùnɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɽíɲá ùnɛ́ɾɛ́,The sheep pulled the boy here yesterday,d̪ a n a l ð l e ð o a p ɾ i ɲ a ʊ n e ɾ e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɾíɲá únɛ̀ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ áp ɽíɲá únɛ́ɾɛ́,The sheep pulled the boy here yesterday,r a m a l l e ð a p ɾ e ɲ a ɔ n e ɾ e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ́,The sheep pulled the person here yesterday.,ð a a l d̪ v l ə ð o u ɟ ɪ ʊ n a r e,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ́,n/a,ð a l d̪ v l e ð ɔ ʊ ɟ i ʊ n a ɾ,train
ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ úɟí ùnɛ́ɾɛ́,n/a,d̪ a ŋ a d̪ ə b l ɛ ð a ʊ ɟ ɪ ʊ n a ɾ,train
ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,The sheep will pull the boy away.,d̪ a ŋ a l ð a v l ɛ ð a ð a v l e d̪ a a p ɾ ə ɲ a,train
ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,n/a,v a l r a v l e ð a a p ɾ ɛ ɲ a,train
ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,n/a,l a l ð a v l ɛ ð a a p ɾ e ɲ e,train
ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,n/a,s a ŋ a l ð a v l e ð a a p ɾ e ɲ e,train
ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲá ndòbà,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá nd̪ɔ̀bà,The sheep will pull the boy away tomorrow,d̪ a ŋ ə l a v l a a p ɾ ɛ ɲ ə d̪ o v a,train
ðàŋàl ðǎvə́lɛ̂ðà ùɟí ńdòbà,ðàŋàl ðá və́lɛ̀ðà ùɟí nd̪ɔ̀bà,The sheep will pull the person away tomorrow,k r a ŋ a l ð a v l e ð a ʊ ɟ i d̪ o v,train
ðàŋàl ðǎvə́lɛ̂ðà ùɟí ńdòbà,ðàŋàl ðá və́lɛ̀ðà ùɟí nd̪ɔ̀bà,n/a,d̪ ə ð a v l ə d̪ a ʊ ɡ i n d̪ o v a,train
ðàŋàl ðǎvə́lɛ̂ðà ùɟí ńdòbà,ðàŋàl ðá və́lɛ̀ðà ùɟí nd̪ɔ̀bà,n/a,v ə ð a v l ɛ ð a ʊ ɡ i n d̪ o b a,train
ðàŋàl ðâvlɛ̀ðɔ́ ápɾ íɲá ńdòbà,ðàŋàl ðá və̀lɛ̀ðɔ́ ápɾí ɲá nd̪ɔ̀bà,The sheep will pull the boy here tomorrow.,ə n l ð a b l e ð o a p ɾ e ɲ a d̪ o b a,train
ðàŋàl ðâvlɛ̀ðɔ́ úɟí ńdòbà,ðàŋàl ðá və̀lɛ̀ðɔ́ úɟí nd̪ɔ̀bà,The sheep will pull the person here tomorrow.,r a l a l ð a b l ə ð o ʊ j i n d̪ o b a,train
ðàŋàl ðâvlɛ̀ðɔ́ úɟí ńdòbà,ðàŋàl ðá və̀lɛ̀ðɔ́ úɟí nd̪ɔ̀bà,n/a,ð l a b l e ð o ʊ ɟ i n o v a,train
jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ð a m a l v l e ð e o ɛ r e,train
jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ð a n a l v l e ð ə ʊ n ɛ ɾ,train
jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ð a ŋ a l v l e ð e u n e r e,train
jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ð a a l v l e ð ə ʊ n e r e,train
jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ð a m a l v l e ð e ʊ n ɛ r,train
jà ðáŋâl jà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jà ðáŋâl jà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,The sheep pulled him (boy) away yesterday.,j a ð a n a l i a ð a ŋ a l b l ɛ ð e ʊ n,train
jə̀vlɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ́,The sheep pulled him here yesterday,i e b l e ð o ð a ŋ a l ʊ n e ɾ e,train
jə̀vlɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ́,n/a,i e v l e ð o ð a ŋ a l ʊ n ɾ e,train
jə̀vlɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́ ðáŋàl ùnɛ́ɾɛ́,n/a,i e v l e ð o ð a m a l ʊ n a ɾ e,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbà,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,The sheep will pull him (the boy) away tomorrow.,i a i a d̪ a ŋ a l v l ɛ d̪ a d̪ o b a,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbà,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,n/a,i a d̪ ə m ə l v l ɛ d̪ a d̪ o b a,train
jǎ ðáŋâl və̀lɛ̀ðɔ́ ndòbà,jâ ðáŋâl və̀lɛ̀ðɔ́ nd̪ɔ̀bà,The sheep will pull him (boy) here tomorrow,i a ð a ŋ a l b l e ð o ð o b a,train
jǎ ðáŋâl və̀lɛ̀ðɔ́ ndòbà,jâ ðáŋâl və̀lɛ̀ðɔ́ nd̪ɔ̀bà,n/a,i a ð a n a l v l ə ð o d̪ o v a,train
já ðáŋâl və̀lɛ̀ðɔ́ ndòbà,já ðáŋâl və̀lɛ̀ðɔ́ nd̪ɔ̀bà,The sheep will pull him (boy) here tomorrow,i a ð a l v l ð ɔ d̪ o v a,train
jǎ ðáŋâl və̀lɛ̀ðɔ́ ndòbà,jâ ðáŋâl və̀lɛ̀ðɔ́ nd̪ɔ̀bà,n/a,i a ð a ɔ r b l ɛ ð o d̪ o b a,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbà,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,n/a,i a ð a n a r v l ɛ ð a d̪ o b a,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbǎ,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,The sheep will pull him (the boy) away tomorrow.,i a d ə a l v l ɛ ð a d̪ o b a,train
jǎ ðáŋâl və̀lɛ̀ðɔ́ ndòbà,jâ ðáŋâl və̀lɛ̀ðɔ́ nd̪ɔ̀bà,n/a,i a ð a a l v l e ð ɔ d̪ o v ə,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbǎ,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,n/a,i a d ɛ a l v l e d ɛ d o v a,train
jǎ ðáŋâl və̀lɛ̀ðà ndòbà,jâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,n/a,j a ð a l v l n d̪ a v a j,train
kǎ ðáŋâl və̀lɛ̀ðà ndòbà,kâ ðáŋâl və́lɛ̀ðà nd̪ɔ̀bà,The sheep will pull him/her away tomorrow,k a ð a a l v l e ð a n d̪ a b a,train
kà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,kà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,The sheep pulled him/her away yesterday.,k a ð a ŋ a l v l e ð e u n e r e,train
kà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,kà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,k a ð a m a l e l e ð e o n e ɾ e,train
kà ðáŋâl və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,kà ðáŋâl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,k a ð a a l v l e ð e o e ɾ,train
