,src,ref,mBART_hand_label_pred,canary_pred
187,bʊ̀gʊ́l kìcə̀lò,pumpkins are good,The fox is good.,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1239, 1451, 1547]), text='Kuku is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
188,kúkù kàŋt̪ɔ́ kákàŋú bɛ́tɛ̀n nɛ̀ lɛ̀vɛ̀r,Kuku also saw Kaka in the field,Kuku saw Kaka in the field,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1317, 2044, 1358, 1746, 2026, 2051, 2027, 1190,
        1185, 1679, 1201, 1203, 1190, 1180, 1457]), text=""Kuku saw Kaka's father in the field"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
189,kúkù bɛ́tɛ̀n kâŋt̪ɔ́ kákàŋú nɛ̀ lɛ̀vɛ̀r,Kuku also saw Kaka in the field,Kuku introduced Kaka in the field,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 2051, 2027, 1809, 1627, 1358, 1746, 2026, 1317,
        2044, 1201, 1203, 1190, 1180, 1457]), text=""Kuku's book Kaka saw in the field"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
190,àn kákà bɛ́tɛ̀ń kâŋtɔ́ kúkù nɛ̀ lɛ̀vɛ̀r,Kuku saw Kaka also in the field,...Kuku saw Kaka in the field,"Hypothesis(score=0.0, y_sequence=tensor([1307, 1348, 1358, 1746, 2026, 1546, 1358, 2032, 2049, 2032, 1317, 2044,
        1201, 1203, 1190, 1180, 1457]), text='only Kaka but Kuku saw in the field', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
191,kúkù kâŋtɔ́ kɔ́rìŋú nɛ̀ lɛ̀vɛ̀r dɛ̀ àn kákà kâŋtɔ́ŋ nɛ̀ lɛ̀vɛ̀r,"Kuku didn't see Kɔɾi in the field, he saw Kaka",Kuku didn't see Kɔːrì in the field,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1317, 2044, 1358, 1179, 2028, 1201, 1203, 1190,
        1180, 1457, 2043, 1320, 2051, 2027, 1358, 1746, 2026, 1183, 1185, 1391,
        1317, 2044, 1201, 1203, 1190, 1180, 1457]), text=""Kuku saw Kori in the field, it's Kaka that he saw in the field"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
192,t̪àrɔ́ŋt̪ɛ́ t̪á t̪àŋòŋs,he said he saw it,he said that he saw it,"Hypothesis(score=0.0, y_sequence=tensor([1391, 1317, 1244, 1183, 1185, 1391, 1317, 2044, 1320]), text='he said that he saw it', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
193,tá kúkù r̀lɛ̀ɲì,Kuku chased it away,Kuku chased them (towards),"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1318, 1178, 1246, 1157, 2044, 1364]), text='Kuku chased away', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
194,ɲìjɔ́l kúkù,Kuku ate it (the soup),Kuku ate food,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1157, 1193, 1320]), text='Kuku ate it', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
195,jít̪ə̀vìnɔ̀,i cut myself,i am about to cut myself,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1164, 1729, 1854, 2024]), text='I came home', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
196,búr ɲát̪ə́vìnɛ̌,go and cut yourselves,Go and cut yourself!,"Hypothesis(score=0.0, y_sequence=tensor([1328, 2031, 1763, 1241, 1164, 1250, 1205, 1754, 1235, 2041, 1901, 2117,
        2023, 2122, 2041, 1174, 2121]), text='Go out and cut yourself now! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
197,bú ɲát̪ə́vìnɛ̌,go and cut yourselves,go and cut yourself,"Hypothesis(score=0.0, y_sequence=tensor([1451, 1241, 1164, 1250, 1205, 1754, 1235, 2041, 1901, 2023, 2122, 2041,
        1174, 2121]), text='go and cut yourself now (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
198,íŋgát̪ə̀vɔ́,Parts of: I'll go cut the rope (and come back),I will cut,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1172, 1379, 1164, 1250, 1203, 1718, 1390]), text='I will cut the rope', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
199,nìcɔ́lɔ̀,brown squirrels,brown squirrel,"Hypothesis(score=0.0, y_sequence=tensor([1361, 1703, 1241, 1158, 2037, 1505]), text='Nice and small', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
200,ácám kìcə̀lò,civet is good,The book is good.,"Hypothesis(score=0.0, y_sequence=tensor([1856, 1170, 1638, 2054, 1239, 1451, 1547, 2048]), text='This fox is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
201,rî rìcə̀lò,thorns are good,The hair is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1335, 2033, 1239, 1451, 1547, 2048]), text='The bowl is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
202,ðî ðìcə̀lò,the thorn is good,This stick is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1588, 1213, 2029, 1239, 1451, 1547, 2048]), text='The shirt is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
203,áɾò kìcə̀lò,the chicken is good,The chicken is good,"Hypothesis(score=0.0, y_sequence=tensor([1205, 1237, 2134, 2045, 1505, 2051, 2027, 1191, 1209, 1711, 1239, 1451,
        1547]), text=""your/yall's brother is good"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
204,ðô ðìcə̀lò,the stick is good,This stick is good.,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1588, 1213, 2029, 1239, 1451, 1547]), text='the shirt is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
205,rô rìcə̀lò,sticks are good,the spider is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1718, 1388, 1239, 1451, 1547, 2048]), text='The rock is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
206,ìðɔ̀ŋɔ̀ ígùn kà kńnà èmàɾðɛ́n ápátɛ̀ kɔ́ɾà,"her child, every woman brought him to school",her child took care of every girl child,"Hypothesis(score=0.0, y_sequence=tensor([1712, 1172, 1420, 2024, 1699, 1720, 1446, 1203, 1172, 1197, 1166, 1854,
        2024]), text='his wife brought the woman home', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
207,ɛ̀ðɛ̀ jìcə̀lò,meat is good,the frolicking is good/ cute,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1493, 1587, 1250, 1239, 1451, 1547, 2048]), text='The coconut is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
208,ðù ðìcə̀lò,the heart is good,The ostrich is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1588, 1213, 2029, 1239, 1451, 1547]), text='The shirt is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
209,rù rìcə̀lò,the hearts are good,The spiderweb is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1718, 1388, 1239, 1451, 1547, 2048]), text='The rock is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
210,ðú ðáɲì pɔ̀,the heart is beating,The heart beat,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1391, 1791, 1239, 1201, 1203, 1162, 1153, 2048]), text='The heart is in the pen.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
211,tə̀vá lúɔ̀,cut the cloth,Parts of: Your (2SG) father is tall,"Hypothesis(score=0.0, y_sequence=tensor([1154, 2030, 1635, 1172, 1815]), text='drink water', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
212,àvàlá kèclò,The cat is good.,the cat is good,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1164, 1271, 1195, 2134, 2039, 1261, 1239, 1451, 1547]), text='the candle/gum is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
213,àvàlà kèclò,The cat is good.,the cat is good,"Hypothesis(score=0.0, y_sequence=tensor([1205, 1237, 1158, 1355, 2033, 1219, 1239, 1451, 1547]), text='your sibling is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
214,ɛ̀màð kìclò,The friend is good,the fear is strong,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1417, 1155, 1239, 1451, 1547, 2048]), text='The peer is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
215,àmàð kìclò,The friend is good,This is a chicken,"Hypothesis(score=0.0, y_sequence=tensor([1315, 1197, 2041, 1357, 1239, 1451, 1547]), text='Comfort is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
216,nɛ̀gɛ̀ðɔ́l,enemies with,themselves,"Hypothesis(score=0.0, y_sequence=tensor([1307, 1203, 1158, 2027, 2044, 2049, 2027]), text='on the sswks', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
217,ɔ̀mnɛ̀ð kìcò,The enemy is bad,the enemy is bad,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1210, 1232, 2045, 1239, 1451, 1547, 2048]), text='The enemy is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
218,ɛ̀vlá ŋ́gúɽì,cat of the wild,the cat is in the water,"Hypothesis(score=0.0, y_sequence=tensor([1332, 2030, 1197, 1183, 1185, 1340, 1280]), text='From that forest', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
219,ùlíŋgɛ́ kìclò,The night is good,The night is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1181, 1553, 1239, 1451, 1547, 2048]), text='The night is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
220,ùjɛ̀l kìclò,The shadow is nice,The shepherd is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1162, 1257, 1161, 1239, 1451, 1547, 2048]), text='The person is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
221,d̪ùd̪ɔ̀ ðìclò,The floor is good,It (the root) is good,"Hypothesis(score=0.0, y_sequence=tensor([1190, 1407, 1179, 1239, 1451, 1547]), text='floor is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
222,óɾá kìcə̀lò,the child is good,your brother is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1318, 1228, 2034, 1239, 1451, 1547, 2048]), text='The child is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
223,ɛ́ðɛ́ jìcə̀lò,the animals are good,the rabbit is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1493, 1587, 1250, 1239, 1451, 1547, 2048]), text='The coconut is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
224,óɾá kɛ́ kúkǔ kàmɔ̀ŋt̪ɔ́ ɛ́ðɛ̀,kuku's child took care of his animals,Kuku's child took care of his animals,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 2051, 2027, 1318, 1228, 2034, 1221, 1627, 1203,
        1301, 1185]), text=""Kuku's child took the meat"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
225,óɾá kɛ́ kúkǔ kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjún ùnɛ̀ɾɛ̀,Kuku's child took care of his animals,Kuku's child took care of his animals yesterday,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 2051, 2027, 1318, 1228, 2034, 1221, 1627, 1164,
        1591, 1253, 1712, 1211, 1266, 1192, 2027, 1205, 1156, 1272, 2034, 1364]), text=""Kuku's child took care of his animals yesterday"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
226,òɾá kɛ́ kúkù kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjɛ̀ɲí,Kuku's child took care of my animals,Kuku's child took care of my animals,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 2051, 2027, 1318, 1228, 2034, 1221, 1627, 1164,
        1591, 1253, 1712, 1211, 1266, 1192, 2027]), text=""Kuku's child took care of his animals"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
227,òɾá kɛ́ kúkù kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjɛ̀ɲí ùnɛ̀ɾɛ̀,Kuku's child took care of my animals yesterday,Kuku's child took care of my animals yesterday,"Hypothesis(score=0.0, y_sequence=tensor([1687, 1318, 1228, 2034, 1221, 1627, 1164, 1591, 1253, 1712, 1211, 1266,
        1192, 2027, 1205, 1156, 1272, 2034, 1364]), text='my child took care of his animals yesterday', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
228,sɔ̀ɽìŋgɔ́,donkey,Parts of: the granchildren rested yesterday,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1397, 1331, 2045]), text='the donkey', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
229,ábŕtɔ́ sàɽíŋgɔ̀,ride the donkey,(Go and) dance with him!,"Hypothesis(score=0.0, y_sequence=tensor([1376, 1596, 1203, 1397, 1331, 2045, 2117, 2023, 2122, 2041, 1174, 2121]), text='Ride the donkey! (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
230,sɔ̀ɽíŋgɔ́ sádàn sáðúɽà ŕ ŋɛ́mbùɽù,small donkey is breastfed like a calf,Parts of: small donkey is breastfed like a calf,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1397, 1331, 2045, 1172, 1379, 1191, 1218, 1244, 1175, 1382, 1200,
        1711, 2051, 2027, 1292, 1213]), text=""the donkey will braid each other's hair"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
231,sɔ̀ɽíŋgɔ́ sádàn,small donkey,part of: small donkey,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1172, 1379, 1154, 2030, 1635, 1172, 1815, 1475, 1197, 1320, 2023,
        2122, 2033, 2071, 1590, 1692, 2121]), text='I will drink water from it (l-class)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
232,sɔ̀ɽíŋgɔ́ sátàɽán,small small,Parts of: small donkey is breastfed like a baby,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1560, 1191, 1167, 1746, 1219, 1203, 1316, 2039]), text='I am breaking the log', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
233,ŋán ŋìcàlò,the milk is good,the milk is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1169, 1202, 2036, 1209, 1197, 2027, 1480, 1451, 1547, 2048]), text='The mushrooms are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
234,kɔ̀t̪ìnɔ́,to braid,Braid yourself.,"Hypothesis(score=0.0, y_sequence=tensor([1288, 1218, 1244, 1205, 1754, 1235, 2041, 2048]), text='Braid yourself.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
235,ìrɔ́ jɛ̀cə̀lò,the hair is beautiful,The hair is good.,"Hypothesis(score=0.0, y_sequence=tensor([1315, 1679, 2030, 2045, 1239, 1181, 1703]), text='Cherry is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
236,ìrɔ́ jìcə̀lò,hair is beautiful,The hairs are good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1292, 1213, 1239, 1451, 1547]), text='The hair is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
237,sɔ̀ɽíŋgɔ́ sátàɽǎn,small donkey,Parts of: small donkey is breastfed like a calf,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1560, 1430, 1367, 1221, 1154, 2030, 1635, 1221, 1320]), text='I am about to drink to it', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
238,ŋán ŋìcə̀lò,the milk is good,charcoals are good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1169, 1202, 2036, 1209, 1197, 2027, 1480, 1181, 1703]), text='The mushrooms are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
239,àbrá t̪ɔ́wə̀nì,jump now! (far/towards),‘Wait now (far)!’,"Hypothesis(score=0.0, y_sequence=tensor([1387, 1261, 2038, 1901, 2117]), text='Jump now!', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
240,láíðɔ̀ ìjɔ̀,they will make a fire,they will make a fire,"Hypothesis(score=0.0, y_sequence=tensor([1203, 2045, 1172, 1379, 1297, 1331, 1157, 1190, 1409]), text='they will make a fire', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
241,kɔ́t̪ínɔ́,braid hair,Braid yourself.,"Hypothesis(score=0.0, y_sequence=tensor([1288, 1218, 1244, 1205, 1754, 1235, 2041, 2048]), text='Braid yourself.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
242,ìrɔ́ jìcə̀lò,the hair is beautiful,The hairs are good.,"Hypothesis(score=0.0, y_sequence=tensor([1712, 2134, 1679, 2134, 1721, 1292, 1213, 1239, 1263, 1327, 1208, 2041,
        1306]), text='his/her/its hair is beautiful', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
243,làbúlìjɔ̀,Parts of: They will wrestle the man,they will wrestle (far),"Hypothesis(score=0.0, y_sequence=tensor([1753, 2045, 1172, 2030, 1280, 1195, 2034]), text='They wrestled', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
244,d̪úɾú ɛ́lɔ̌,Stand up,Stand up,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1158, 1396, 2038, 1239, 1451, 1547, 2048]), text='The stop is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
245,lɛ̀d̪ùɾú jû,They stopped there,They stopped there,"Hypothesis(score=0.0, y_sequence=tensor([1753, 2045, 1158, 1396, 1350, 1246, 1183, 1302, 2048]), text='They stopped there.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
